# Dataset "Data 0" exported from GenX on Thu Jan 17 17:19:11 2019
# Column lables:
# x	I_simulated	I	error(I)
7.279999999999999805e-01 8.779234328845825913e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.319999999999999840e-01 5.466879304260618445e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.359999999999999876e-01 2.722042348148874785e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.399999999999999911e-01 8.387212392922255288e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.439999999999999947e-01 4.673844134196195114e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.479999999999999982e-01 4.861701661031830901e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.520000000000000018e-01 2.189908061959543791e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.560000000000000053e-01 5.077183084009928224e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.600000000000000089e-01 8.959165692813166049e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.640000000000000124e-01 1.355573332013036182e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.680000000000000160e-01 1.852074421484227462e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.720000000000000195e-01 2.347215136849487710e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.760000000000000231e-01 2.802322073195288518e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.800000000000000266e-01 3.181184983456337989e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.840000000000000302e-01 3.452615977308161332e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.880000000000000338e-01 3.592574235271453476e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.920000000000000373e-01 3.585885366497465476e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.960000000000000409e-01 3.427626892635359662e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000444e-01 3.124240253034667875e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.040000000000000480e-01 2.694370420996905144e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.080000000000000515e-01 2.169339113214303200e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.120000000000000551e-01 1.593046431706612170e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.160000000000000586e-01 1.020998427242653279e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.200000000000000622e-01 5.181164184287652234e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.240000000000000657e-01 1.550476796418297264e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.280000000000000693e-01 2.907662103090121833e-05 0.000000000000000000e+00 0.000000000000000000e+00
8.320000000000000728e-01 1.267450402952405211e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.360000000000000764e-01 5.784674635061738505e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.399999999999999689e-01 1.390354502249119967e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.439999999999999725e-01 2.570431788564295564e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.479999999999999760e-01 4.100752232799487890e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.519999999999999796e-01 5.939035365553145540e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.559999999999999831e-01 8.023337221561765986e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.599999999999999867e-01 1.027874293329919531e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.639999999999999902e-01 1.262473058448736196e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.679999999999999938e-01 1.498192565185187120e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.719999999999999973e-01 1.727735242259118564e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.760000000000000009e-01 1.944779847710254861e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.800000000000000044e-01 2.144135909116328398e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.840000000000000080e-01 2.321751866546405974e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.880000000000000115e-01 2.474624219497943145e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.920000000000000151e-01 2.600653369501065293e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.960000000000000187e-01 2.698483001431806194e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000222e-01 2.767348806535047667e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.040000000000000258e-01 2.806952253773303263e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.080000000000000293e-01 2.817367306982039854e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.120000000000000329e-01 2.798982589993088688e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.160000000000000364e-01 2.752478014760865177e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.200000000000000400e-01 2.678832588396979353e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.240000000000000435e-01 2.579358310655290865e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.280000000000000471e-01 2.455753222262083424e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.320000000000000506e-01 2.310164450053565355e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.360000000000000542e-01 2.145249491322608892e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.400000000000000577e-01 1.964221320317834640e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.440000000000000613e-01 1.770860920618307355e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.480000000000000648e-01 1.569480643032810929e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.520000000000000684e-01 1.364824600745485061e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.560000000000000719e-01 1.161899097488111321e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.600000000000000755e-01 9.657369143489971663e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.639999999999999680e-01 7.811128017796083178e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.679999999999999716e-01 6.122408101414956311e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.719999999999999751e-01 4.624932327198938431e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.759999999999999787e-01 3.341823585465433094e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.799999999999999822e-01 2.284383087277198909e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.839999999999999858e-01 1.452003140193280743e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.879999999999999893e-01 8.331900932951547337e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.919999999999999929e-01 4.074905732214491490e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.959999999999999964e-01 1.479923409829785952e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 2.403183129152285308e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.004000000000000004e+00 3.777633875367779722e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.008000000000000007e+00 5.644692828194264669e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.012000000000000011e+00 1.540177937833827303e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.016000000000000014e+00 2.723972432339321313e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.020000000000000018e+00 3.920769203586834187e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.024000000000000021e+00 4.983512776302856905e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.028000000000000025e+00 5.811904544328420560e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.032000000000000028e+00 6.348595840976189141e-03 0.000000000000000000e+00 0.000000000000000000e+00
